Case Type,Info Url,Info Url Title
"Small Claims",https://www.courts.ca.gov/selfhelp-smallclaims.htm,"How-to instructions for Small Claims"
"Custody and Parenting Time (Visitation)",https://www.courts.ca.gov/selfhelp-custody.htm,"How-to instructions for Custody and Parenting Time (Visitation)"
"Child Support",https://www.courts.ca.gov/selfhelp-support.htm,"How-to instructions for Child Support"
"Parentage/Paternity",https://www.courts.ca.gov/selfhelp-parentage.htm,"How-to instructions for Parentage/Paternity"
"Child Abuse and Neglect",https://www.courts.ca.gov/selfhelp-childabuse.htm,"How-to instructions for Child Abuse and Neglect"
"Guardianship",https://www.courts.ca.gov/selfhelp-guardianship.htm,"How-to instructions for Guardianship"
"Juvenile Delinquency",https://www.courts.ca.gov/selfhelp-delinquency.htm,"How-to instructions for Juvenile Delinquency"
"Adoption",https://www.courts.ca.gov/selfhelp-adoption.htm,"How-to instructions for Adoption"
"Emancipation",https://www.courts.ca.gov/selfhelp-emancipation.htm,"How-to instructions for Emancipation"
"Divorce or Separation",https://www.courts.ca.gov/selfhelp-divorce.htm,"How-to instructions for Divorce or Separation"
"Domestic Violence",https://www.courts.ca.gov/selfhelp-domesticviolence.htm,"How-to instructions for Domestic Violence"
"Restraining Order",https://www.courts.ca.gov/selfhelp-domesticviolence.htm,"How-to instructions for Restraining Order"
"Elder and Dependent Adult Abuse",https://www.courts.ca.gov/selfhelp-elder.htm,"How-to instructions for Elder and Dependent Adult Abuse"
"Civil Harassment",https://www.courts.ca.gov/1044.htm,"How-to instructions for Civil Harassment"
"Workplace Violence",https://www.courts.ca.gov/1045.htm,"How-to instructions for Workplace Violence"
"Gun Violence Restraining Orders",https://www.courts.ca.gov/33961.htm,"How-to instructions for Gun Violence Restraining Orders"
"Evictions",https://www.courts.ca.gov/selfhelp-eviction.htm,"How-to instructions for Evictions"
"Name Change",https://www.courts.ca.gov/selfhelp-namechange.htm,"How-to instructions for Name Change"
"Elder Abuse",https://www.courts.ca.gov/1058.htm,"How-to instructions for Elder Abuse"
"Conservatorship",https://www.courts.ca.gov/selfhelp-conservatorship.htm,"How-to instructions for Conservatorship"
"Gender Change",https://www.courts.ca.gov/genderchange.htm,"How-to instructions for Gender Change"
