Form name,Form number,Form category ids,Plain language description (1-2 sentences),PDF URL,Arabic URL,Cambodian URL,Chinese URL,Chinese Traditional URL,Farsi URL,Hmong URL,Korean URL,Punjabi URL,Russian URL,Spanish URL,Tagalog URL,Vietnamese URL,Form filling instructions URL,Mandatory Form,Revision Date,,,,,,
How to Adopt a Child in California,ADOPT-050-INFO,adoption,,https://www.courts.ca.gov/documents/adopt050info.pdf,,,,,,,,,,,,,,false,1/1/2021,,,,,,
Adoption Request,ADOPT-200,adoption,,https://www.courts.ca.gov/documents/adopt200.pdf,,,,,,,,,,,,,,true,1/1/2021,,,,,,
Declaration Confirming Parentage in Stepparent Adoption,ADOPT-205,adoption,,https://www.courts.ca.gov/documents/adopt205.pdf,,,,,,,,,,,,,,false,1/1/2016,,,,,,
Declaration Confirming Parentage in Stepparent Adoption: Gestational Surrogacy,ADOPT-206,adoption,,https://www.courts.ca.gov/documents/adopt206.pdf,,,,,,,,,,,,,,false,1/1/2021,,,,,,
Adoption Agreement,ADOPT-210,adoption,,https://www.courts.ca.gov/documents/adopt210.pdf,,,,,,,,,,https://www.courts.ca.gov/documents/adopt210s.pdf,,,,true,1/1/2021,,,,,,
Adoption Order,ADOPT-215,adoption,,https://www.courts.ca.gov/documents/adopt215.pdf,,,,,,,,,,https://www.courts.ca.gov/documents/adopt215s.pdf,,,,true,1/1/2021,,,,,,
Verification of Compliance with Hague Adoption Convention Attachment,ADOPT-216,adoption,,https://www.courts.ca.gov/documents/adopt216.pdf,,,,,,,,,,https://www.courts.ca.gov/documents/adopt216s.pdf,,,,true,7/1/2013,,,,,,
Verification of Compliance with Hague Adoption Convention Attachment,ADOPT-216,adoption,,https://www.courts.ca.gov/documents/adopt216.pdf,,,,,,,,,,https://www.courts.ca.gov/documents/adopt216s.pdf,,,,true,7/1/2013,,,,,,
Adoption of Indian Child,ADOPT-220,adoption,,https://www.courts.ca.gov/documents/adopt220.pdf,,,,,,,,,,,,,,true,7/1/2010,,,,,,
Parent Of Indian Child Agrees To End Parental Rights,ADOPT-225,adoption,,https://www.courts.ca.gov/documents/adopt225.pdf,,,,,,,,,,,,,,true,1/1/2005,,,,,,
Adoption Expenses,ADOPT-230,adoption,,https://www.courts.ca.gov/documents/adopt230.pdf,,,,,,,,,,,,,,true,1/1/2007,,,,,,
Contact After Adoption Agreement,ADOPT-310,adoption,,https://www.courts.ca.gov/documents/adopt310.pdf,,,,,,,,,,,,,,true,1/1/2018,,,,,,
"Request to: Enforce, Change, End Contact After Adoption Agreement",ADOPT-315,adoption,,https://www.courts.ca.gov/documents/adopt315.pdf,,,,,,,,,,,,,,true,1/1/2018,,,,,,
"Answer to Request to: Enforce, Change, End Contact After Adoption Agreement",ADOPT-320,adoption,,https://www.courts.ca.gov/documents/adopt320.pdf,,,,,,,,,,,,,,true,1/1/2018,,,,,,
"Judge's Order to: Enforce, Change, End Contact After Adoption Agreement",ADOPT-325,adoption,,https://www.courts.ca.gov/documents/adopt325.pdf,,,,,,,,,,,,,,true,1/1/2018,,,,,,
Request for Appointment of Confidential Intermediary,ADOPT-330,adoption,,https://www.courts.ca.gov/documents/adopt330.pdf,,,,,,,,,,,,,,true,1/1/2008,,,,,,
Order for Appointment of Confidential Intermediary,ADOPT-331,adoption,,https://www.courts.ca.gov/documents/adopt331.pdf,,,,,,,,,,,,,,true,1/1/2008,,,,,,
Statement of Agreement or Nonagreement,ADR-100,,,https://www.courts.ca.gov/documents/adr100.pdf,,,,,,,,,,,,,,true,7/1/2012,,,,,,
ADR Information Form,ADR-101,,,https://www.courts.ca.gov/documents/adr101.pdf,,,,,,,,,,,,,,true,3/1/1994,,,,,,
Request for Trial De Novo After Judicial Arbitration,ADR-102,,,https://www.courts.ca.gov/documents/adr102.pdf,,,,,,,,,,,,,,false,1/1/2012,,,,,,
"Petition to Confirm, Correct, or Vacate Attorney-Client Fee Arbitration Award",ADR-103,,,https://www.courts.ca.gov/documents/adr103.pdf,,,,,,,,,,,,,,false,7/1/2010,,,,,,
Rejection of Award and Request for Trial After Attorney-Client Fee Arbitration,ADR-104,,,https://www.courts.ca.gov/documents/adr104.pdf,,,,,,,,,,,,,,false,1/1/2004,,,,,,
Information Regarding Rights After Attorney-Client Fee Arbitration,ADR-105,,,https://www.courts.ca.gov/documents/adr105.pdf,,,,,,,,,,,,,,false,1/1/2009,,,,,,
"Petition to Confirm, Correct, or Vacate Contractual Arbitration Award",ADR-106,,,https://www.courts.ca.gov/documents/adr106.pdf,,,,,,,,,,,,,,false,1/1/2004,,,,,,
Attendance Sheet for Court-Program Mediation of Civil Case,ADR-107,,,https://www.courts.ca.gov/documents/adr107.pdf,,,,,,,,,,,,,,false,7/1/2009,,,,,,
Stipulation or Motion for Order Appointing Referee,ADR-109,,,https://www.courts.ca.gov/documents/adr109.pdf,,,,,,,,,,,,,,false,1/1/2007,,,,,,
Order Appointing Referee,ADR-110,,,https://www.courts.ca.gov/documents/adr110.pdf,,,,,,,,,,,,,,false,7/1/2011,,,,,,
Report of Referee,ADR-111,,,https://www.courts.ca.gov/documents/adr111.pdf,,,,,,,,,,,,,,false,1/1/2006,,,,,,
Mediation Disclosure Notification and Acknowledgement,ADR-200,,,https://www.courts.ca.gov/documents/adr200.pdf,,,,,,,,,,,,,,false,1/1/2020,,,,,,
Information on Appeal Procedures for Unlimited Civil Cases,APP-001-INFO,appeals,,https://www.courts.ca.gov/documents/app001info.pdf,,,,,,,,,,,,,,false,1/1/2019,,,,,,
Notice of Appeal/Cross-Appeal (Unlimited Civil Case),APP-002,appeals,,https://www.courts.ca.gov/documents/app002.pdf,,,,,,,,,,,,,,false,1/1/2017,,,,,,
Appellant's Notice Designating Record on Appeal (Unlimited Civil Case),APP-003,appeals,,https://www.courts.ca.gov/documents/app003.pdf,,,,,,,,,,,,,,false,1/1/2019,,,,,,
Civil Case Information Statement (Appellate),APP-004,appeals,,https://www.courts.ca.gov/documents/app004.pdf,,,,,,,,,,,,,,true,1/1/2021,,,,,,
Abandonment of Appeal (Unlimited Civil Case),APP-005,appeals,,https://www.courts.ca.gov/documents/app005.pdf,,,,,,,,,,,,,,false,1/1/2017,,,,,,
Application for Extension of Time to File Brief (Civil Case),APP-006,appeals,,https://www.courts.ca.gov/documents/app006.pdf,,,,,,,,,,,,,,false,1/1/2017,,,,,,
Request for Dismissal of Appeal (Civil Case),APP-007,appeals,,https://www.courts.ca.gov/documents/app007.pdf,,,,,,,,,,,,,,false,1/1/2017,,,,,,
Certificate of Interested Entities or Persons,APP-008,appeals,,https://www.courts.ca.gov/documents/app008.pdf,,,,,,,,,,,,,,false,1/1/2017,,,,,,
Proof of Service (Court of Appeal),APP-009,"appeals, proof-of-service",,https://www.courts.ca.gov/documents/app009.pdf,,,,,,,,,,,,,https://www.courts.ca.gov/documents/app009info.pdf,false,1/1/2017,,,,,,
Proof of Electronic Service,APP-009E,"appeals, proof-of-service",,https://www.courts.ca.gov/documents/app009e.pdf,,,,,,,,,,,,,,false,1/1/2017,,,,,,
Information Sheet For Proof of Service (Court of Appeal),APP-009-INFO,"appeals, proof-of-service",,https://www.courts.ca.gov/documents/app009info.pdf,,,,,,,,,,,,,,false,1/1/2021,,,,,,
Respondent's Notice Designating Record on Appeal (Unlimited Civil Case),APP-010,appeals,,https://www.courts.ca.gov/documents/app010.pdf,,,,,,,,,,,,,,false,1/1/2017,,,,,,
Respondent's Notice Electing to Use an Appendix (Unlimited Civil Case),APP-011,appeals,,https://www.courts.ca.gov/documents/app011.pdf,,,,,,,,,,,,,,false,1/1/2017,,,,,,
Stipulation of Extension of Time to File Brief (Civil Case),APP-012,appeals,,https://www.courts.ca.gov/documents/app012.pdf,,,,,,,,,,,,,,false,1/1/2017,,,,,,
Memorandum of Costs on Appeal,APP-013,appeals,,https://www.courts.ca.gov/documents/app013.pdf,,,,,,,,,,,,,,true,1/1/2020,,,,,,
